75;AGNC Investment Corp.,AGNCB;{"symbol":"AGNCB","name":"AGNC Investment Corp.","marketCap":"$9.18B","ipoYear":"n/a","sector":"Consumer Services","industry":"Real Estate Investment Trusts"}
76;AGNC Investment Corp.,AGNCP;{"symbol":"AGNCP","name":"AGNC Investment Corp.","marketCap":"n/a","ipoYear":"n/a","sector":"Consumer Services","industry":"Real Estate Investment Trusts"}
77;AgroFresh Solutions,AGFS;{"symbol":"AGFS","name":"AgroFresh Solutions, Inc.","marketCap":"$351.46M","ipoYear":"2014","sector":"Finance","industry":"Business Services"}
78;AgroFresh Solutions,AGFSW;{"symbol":"AGFSW","name":"AgroFresh Solutions, Inc.","marketCap":"n/a","ipoYear":"2014","sector":"Finance","industry":"Business Services"}
79;Aimmune Therapeutics,AIMT;{"symbol":"AIMT","name":"Aimmune Therapeutics, Inc.","marketCap":"$1.05B","ipoYear":"2015","sector":"Health Care","industry":"Major Pharmaceuticals"}
80;Air T,AIRT;{"symbol":"AIRT","name":"Air T, Inc.","marketCap":"$42.29M","ipoYear":"n/a","sector":"Transportation","industry":"Air Freight/Delivery Services"}
81;Air Transport Services Group,ATSG;{"symbol":"ATSG","name":"Air Transport Services Group, Inc","marketCap":"$1.29B","ipoYear":"n/a","sector":"Transportation","industry":"Air Freight/Delivery Services"}
82;Airgain,AIRG;{"symbol":"AIRG","name":"Airgain, Inc.","marketCap":"$136.71M","ipoYear":"2016","sector":"Technology","industry":"Radio And Television Broadcasting And Communications Equipment"}
83;AirMedia Group,AMCN;{"symbol":"AMCN","name":"AirMedia Group Inc","marketCap":"$143.05M","ipoYear":"2007","sector":"Technology","industry":"Advertising"}
84;Akamai Technologies,AKAM;{"symbol":"AKAM","name":"Akamai Technologies, Inc.","marketCap":"$8.64B","ipoYear":"1999","sector":"Miscellaneous","industry":"Business Services"}
85;Akari Therapeutics Plc,AKTX;{"symbol":"AKTX","name":"Akari Therapeutics Plc","marketCap":"$59M","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
86;Akebia Therapeutics,AKBA;{"symbol":"AKBA","name":"Akebia Therapeutics, Inc.","marketCap":"$609.76M","ipoYear":"2014","sector":"Health Care","industry":"Major Pharmaceuticals"}
87;Akers Biosciences,AKER;{"symbol":"AKER","name":"Akers Biosciences Inc","marketCap":"$11.56M","ipoYear":"2014","sector":"Health Care","industry":"Biotechnology: In Vitro & In Vivo Diagnostic Substances"}
88;Akorn,AKRX;{"symbol":"AKRX","name":"Akorn, Inc.","marketCap":"$4.17B","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
89;Akoustis Technologies,AKTS;{"symbol":"AKTS","name":"Akoustis Technologies, Inc.","marketCap":"$169M","ipoYear":"n/a","sector":"Public Utilities","industry":"Telecommunications Equipment"}
90;Alarm.com Holdings,ALRM;{"symbol":"ALRM","name":"Alarm.com Holdings, Inc.","marketCap":"$1.72B","ipoYear":"2015","sector":"Technology","industry":"Computer Software: Prepackaged Software"}
91;Alaska Communications Systems Group,ALSK;{"symbol":"ALSK","name":"Alaska Communications Systems Group, Inc.","marketCap":"$110.96M","ipoYear":"1999","sector":"Public Utilities","industry":"Telecommunications Equipment"}
92;Albany Molecular Research,AMRI;{"symbol":"AMRI","name":"Albany Molecular Research, Inc.","marketCap":"$928.35M","ipoYear":"1999","sector":"Health Care","industry":"Biotechnology: Commercial Physical & Biological Resarch"}
93;Albireo Pharma,ALBO;{"symbol":"ALBO","name":"Albireo Pharma, Inc.","marketCap":"$154.4M","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
94;Alcentra Capital Corp.,ABDC;{"symbol":"ABDC","name":"Alcentra Capital Corp.","marketCap":"$184.22M","ipoYear":"n/a","sector":"n/a","industry":"n/a"}
95;Alcobra,ADHD;{"symbol":"ADHD","name":"Alcobra Ltd.","marketCap":"$30.87M","ipoYear":"2013","sector":"Health Care","industry":"Major Pharmaceuticals"}
96;Alder BioPharmaceuticals,ALDR;{"symbol":"ALDR","name":"Alder BioPharmaceuticals, Inc.","marketCap":"$679.28M","ipoYear":"2014","sector":"Health Care","industry":"Major Pharmaceuticals"}
97;Aldeyra Therapeutics,ALDX;{"symbol":"ALDX","name":"Aldeyra Therapeutics, Inc.","marketCap":"$67.34M","ipoYear":"2014","sector":"Health Care","industry":"Major Pharmaceuticals"}
98;Alexion Pharmaceuticals,ALXN;{"symbol":"ALXN","name":"Alexion Pharmaceuticals, Inc.","marketCap":"$27.42B","ipoYear":"1996","sector":"Health Care","industry":"Major Pharmaceuticals"}
99;Alico,ALCO;{"symbol":"ALCO","name":"Alico, Inc.","marketCap":"$261.54M","ipoYear":"n/a","sector":"Consumer Non-Durables","industry":"Farming/Seeds/Milling"}
100;Align Technology,ALGN;{"symbol":"ALGN","name":"Align Technology, Inc.","marketCap":"$12B","ipoYear":"2001","sector":"Health Care","industry":"Industrial Specialties"}
101;Alimera Sciences,ALIM;{"symbol":"ALIM","name":"Alimera Sciences, Inc.","marketCap":"$87.94M","ipoYear":"2010","sector":"Health Care","industry":"Major Pharmaceuticals"}
102;ALJ Regional Holdings,ALJJ;{"symbol":"ALJJ","name":"ALJ Regional Holdings, Inc.","marketCap":"$114.97M","ipoYear":"n/a","sector":"Miscellaneous","industry":"Business Services"}
103;Alkermes plc,ALKS;{"symbol":"ALKS","name":"Alkermes plc","marketCap":"$8.75B","ipoYear":"1991","sector":"Health Care","industry":"Major Pharmaceuticals"}
104;Allegiance Bancshares,ABTX;{"symbol":"ABTX","name":"Allegiance Bancshares, Inc.","marketCap":"$487.94M","ipoYear":"2015","sector":"Finance","industry":"Major Banks"}
105;Allegiant Travel Company,ALGT;{"symbol":"ALGT","name":"Allegiant Travel Company","marketCap":"$2.3B","ipoYear":"2006","sector":"Transportation","industry":"Air Freight/Delivery Services"}
106;Alliance HealthCare Services,AIQ;{"symbol":"AIQ","name":"Alliance HealthCare Services, Inc.","marketCap":"$143.79M","ipoYear":"2001","sector":"Health Care","industry":"Medical Specialities"}
107;Alliance Holdings GP,AHGP;{"symbol":"AHGP","name":"Alliance Holdings GP, L.P.","marketCap":"$1.43B","ipoYear":"2006","sector":"Energy","industry":"Coal Mining"}
108;Alliance MMA,AMMA;{"symbol":"AMMA","name":"Alliance MMA, Inc.","marketCap":"$8.75M","ipoYear":"2016","sector":"Consumer Services","industry":"Services-Misc. Amusement & Recreation"}
109;Alliance Resource Partners,ARLP;{"symbol":"ARLP","name":"Alliance Resource Partners, L.P.","marketCap":"$1.42B","ipoYear":"1999","sector":"Energy","industry":"Coal Mining"}
110;Allied Healthcare Products,AHPI;{"symbol":"AHPI","name":"Allied Healthcare Products, Inc.","marketCap":"$10.89M","ipoYear":"1992","sector":"Health Care","industry":"Industrial Specialties"}
111;Allied Motion Technologies,AMOT;{"symbol":"AMOT","name":"Allied Motion Technologies, Inc.","marketCap":"$251.37M","ipoYear":"n/a","sector":"Capital Goods","industry":"Electrical Products"}
